,date,price_eur_mwh,demand,pv,wi,jg,jnwrb,temperature_c,wind_speed_ms,solar_wm2,co2_price_eur,hour,day_of_week,price_lag_24,res_share,hour_sin,hour_cos
4432,2025-01-01 16:00:00+00:00,47.03,17629.76575,0.0,8894.5655,6447.69625,12900.8955,5.1,21.9,0.0,21.2170352935791,16,2,,0.5045197778648874,-0.8660254037844384,-0.5000000000000004
4433,2025-01-01 17:00:00+00:00,41.76,17516.8875,0.0,8882.3555,6323.10075,12863.69,4.7,21.9,0.0,21.2170352935791,17,2,,0.5070738451679843,-0.9659258262890683,-0.25881904510252063
4434,2025-01-01 18:00:00+00:00,39.38,17547.0085,0.0,8843.48375,6450.8975,12819.252,4.6,22.4,0.0,21.2170352935791,18,2,,0.5039881156950485,-1.0,-1.8369701987210297e-16
4435,2025-01-01 19:00:00+00:00,34.63,17339.45525,0.0,8831.90525,6342.9545,12735.68575,4.9,23.1,0.0,21.2170352935791,19,2,54.18,0.509353098044992,-0.9659258262890684,0.2588190451025203
4436,2025-01-01 20:00:00+00:00,13.82,16278.69,0.0,8137.75325,6549.61175,11975.9475,5.6,23.4,0.0,21.2170352935791,20,2,22.82,0.4999022187903326,-0.8660254037844386,0.5000000000000001
4437,2025-01-01 21:00:00+00:00,9.71,15629.948250000001,0.0,7818.522,7092.002,11635.51175,5.6,23.4,0.0,21.2170352935791,21,2,2.27,0.5002269921143212,-0.7071067811865477,0.7071067811865474
4438,2025-01-01 22:00:00+00:00,,14757.84975,0.0,7699.99375,6154.7515,11538.828,6.3,23.7,0.0,21.2170352935791,22,2,0.15,0.5217558032124565,-0.5000000000000004,0.8660254037844384
4439,2025-01-01 23:00:00+00:00,-15.12,13626.33725,0.0,6945.51875,6464.48575,10716.145499999999,6.3,23.3,0.0,21.2170352935791,23,2,15.41,0.5097128173603659,-0.25881904510252157,0.9659258262890681
4440,2025-01-02 00:00:00+00:00,-8.43,13221.252,0.0,6779.67925,6509.59975,10514.508249999999,6.3,22.5,0.0,21.77910804748535,0,3,2.19,0.5127864781640952,0.0,1.0
4441,2025-01-02 01:00:00+00:00,-21.04,13007.85075,0.0,6365.98525,6716.2525000000005,10097.424500000001,7.6,22.6,0.0,21.77910804748535,1,3,,0.4893956251765881,0.25881904510252074,0.9659258262890683
